smiles,ic50_nm,dg_bind
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(=O)NO)cc23)c1,4.6,-11.824905156320037
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,2.4,-12.225647579436002
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,0.514,-13.174857811956091
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.485,-13.210629884427748
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,0.38,-13.360912790240304
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.355,-13.40283168199534
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.5,-13.19186792639339
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,0.49,-13.204312188019763
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.26,-13.594667012521876
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.49,-13.204312188019763
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,0.56,-13.122060856104836
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1,1.1400000000000001,-12.684200578789412
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCn4ccnc4[N+](=O)[O-])cc23)c1,1.08,-12.71750436507526
C#Cc1cccc(Nc2ncnc3cc(OC)c4c(c23)OCCO4)c1,10.9,-11.293503842298739
C#Cc1cccc(Nc2ncnc3cc(OC4CCN(C)CC4)c(NC(=O)/C=C/CN(C)C)cc23)c1,8.1,-11.476384551511844
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,170.15,-9.600869031012612
C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c(NC(=O)/C=C/CN(C)C)cc23)c1,6.0,-11.661239977323477
C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,57.8,-10.2659266814293
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN(C)C4CC4)cc23)c1,2.4,-12.225647579436002
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CN4CCCCC4)cc23)c1,6.1,-11.65105842320059
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)/C=C/CNC4CC4)cc23)c1,4.2,-11.88094104254142
C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,15.35,-11.08262485904365
C#Cc1cccc(Nc2ncnc3cc(OCC4CCCO4)c4c(c23)OCCO4)c1,74.15,-10.112487758038233
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCC(=O)NO)c(OC)cc23)c1,8.2,-11.468826542578062
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.57,-13.11115844759892
C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.47,-13.229981318821624
C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.26,-13.594667012521876
C#Cc1cccc(Nc2ncnc3cc(OCCCN4C[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO)c(OC)cc23)c1,4.87,-11.789771685151784
C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,0.65,-13.030259410409352
C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1,1.0,-12.764910057583883
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc(CC(C)C)cc4)c(OCCOC)cc23)c1,9.0,-11.411485634682093
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc5cc(OC)ccc5c4)c(OCCOC(=O)C(C)c4ccc5cc(OC)ccc5c4)cc23)c1,390.0,-9.089942650685861
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)C(C)c4ccc5cc(OC)ccc5c4)c(OCCOC)cc23)c1,72.0,-10.130612028253562
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)CC4=C(C)/C(=C/c5ccc([S+](C)[O-])cc5)c5ccc(F)cc54)c(OCCOC(=O)CC4=C(C)/C(=C/c5ccc([S+](C)[O-])cc5)c5ccc(F)cc54)cc23)c1,27.0,-10.734773423231196
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)CC4=C(C)/C(=C\c5ccc([S+](C)[O-])cc5)c5ccc(F)cc54)c(OCCOC)cc23)c1,31.0,-10.649676959237167
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)Cc4c(C)n(C(=O)c5ccc(Cl)cc5)c5ccc(OC)cc45)c(OCCOC(=O)Cc4c(C)n(C(=O)c5ccc(Cl)cc5)c5ccc(OC)cc45)cc23)c1,33.0,-10.611166294947376
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)Cc4c(C)n(C(=O)c5ccc(Cl)cc5)c5ccc(OC)cc45)c(OCCOC)cc23)c1,27.0,-10.734773423231196
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccc(C(=O)Nc5ccc6c(c5)C(C)(C)CCC6(C)C)cc4)c(OCCOC(=O)c4ccc(C(=O)Nc5ccc6c(c5)C(C)(C)CCC6(C)C)cc4)cc23)c1,880.0,-8.5886815602382
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccc(C(=O)Nc5ccc6c(c5)C(C)(C)CCC6(C)C)cc4)c(OCCOC)cc23)c1,32.0,-10.630120713536336
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccccc4OC(C)=O)c(OCCOC(=O)c4ccccc4OC(C)=O)cc23)c1,34.0,-10.592777765236065
C#Cc1cccc(Nc2ncnc3cc(OCCOC(=O)c4ccccc4OC(C)=O)c(OCCOC)cc23)c1,5.0,-11.77354458666185
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)/C=C/CN(C)C)cc23)c1,1.2,-12.652605448245511
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)C=C)cc23)c1,1.8,-12.402851105604125
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC(=O)CCCCC[N+]4=C(/C=C/C=C/C=C/C=C5/N(CCCC)c6ccc(OC)cc6C5(C)C)C(C)(C)c5cc(C(F)(F)F)ccc54)cc23)c1.[Br-],124.0,-9.795761221618148
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC(=O)CCCCC[N+]4=C(/C=C/C=C/C=C/C=C5/N(CCCC)c6ccccc6C5(C)C)C(C)(C)c5cc(C(F)(F)F)ccc54)cc23)c1.[Br-],205.0,-9.486095600733998
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,30.0,-10.669874506401445
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,42.5,-10.455328031933051
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c4c(c23)OCCO4)c1,14.55,-11.11559433324531
C#Cc1cccc(Nc2ncnc3cc(OCCOCC)c(NC(=O)/C=C/CN(C)C)cc23)c1,0.771,-12.925103469314706
